timestamp,total_data,accuracy,precision,recall,f1_score,stemming
2026-06-09 20:56:40,833,75.45,75.62,75.45,75.41,
2026-06-09 21:15:39,833,76.05,76.16,76.05,75.98,
2026-06-09 21:47:33,854,77.19,77.36,77.19,76.98,
2026-06-09 22:00:44,1154,80.52,80.51,80.52,80.48,
2026-06-09 22:56:59,1154,72.29,72.33,72.29,71.92,
2026-06-09 23:04:30,1154,71.0,70.98,71.0,70.63,
2026-06-09 23:07:41,1154,80.52,80.51,80.52,80.48,
2026-06-09 23:48:55,1154,80.52,80.51,80.52,80.48,
2026-06-10 00:03:21,1044,82.3,82.42,82.3,82.31,
2026-06-10 00:08:48,1044,82.3,82.42,82.3,82.31,
2026-06-10 00:15:03,1044,82.3,82.42,82.3,82.31,
2026-06-10 11:06:11,1044,82.3,82.42,82.3,82.31,
2026-06-10 11:49:51,1049,100.0,100.0,100.0,100.0,
2026-06-10 12:15:05,1049,100.0,100.0,100.0,100.0,
2026-06-10 12:25:03,1049,97.14,97.15,97.14,97.14,
2026-06-10 12:26:00,1049,97.14,97.15,97.14,97.14,
2026-06-10 12:32:19,1049,100.0,100.0,100.0,100.0,
2026-06-10 12:56:36,1049,100.0,100.0,100.0,100.0,
2026-06-10 13:08:53,1049,100.0,100.0,100.0,100.0,
2026-06-10 13:11:20,1059,96.23,96.32,96.23,96.21,
2026-06-10 13:20:30,1062,96.24,96.26,96.24,96.25,
2026-06-10 13:37:08,1062,96.24,96.26,96.24,96.25,
2026-06-10 13:37:50,1066,96.73,96.78,96.73,96.72,
2026-06-10 13:42:39,1066,95.79,95.81,95.79,95.79,
2026-06-10 13:49:12,1066,95.79,95.81,95.79,95.79,
2026-06-10 14:00:37,1066,99.53,99.54,99.53,99.53,
2026-06-10 14:19:04,1066,98.6,98.61,98.6,98.6,
2026-06-10 14:47:23,1113,99.1,99.11,99.1,99.1,
2026-06-10 14:48:56,1113,99.1,99.11,99.1,99.1,
2026-06-10 15:15:41,1179,97.46,97.56,97.46,97.46,
2026-06-10 15:16:44,1113,99.1,99.11,99.1,99.1,
2026-06-10 15:33:36,1128,98.67,98.68,98.67,98.68,
2026-06-10 21:36:59,1133,98.68,98.69,98.68,98.68,
2026-06-10 21:39:59,1136,98.25,98.26,98.25,98.25,
2026-06-10 21:43:56,1141,98.69,98.71,98.69,98.69,
2026-06-10 21:59:42,1152,98.27,98.3,98.27,98.27,
2026-06-10 22:03:50,1154,97.4,97.5,97.4,97.4,
2026-06-10 22:08:58,1157,97.84,97.86,97.84,97.85,
2026-06-11 22:27:10,978,91.33,91.56,91.33,91.2,
2026-06-11 22:29:37,1049,85.71,85.85,85.71,85.7,
2026-06-11 22:36:20,970,80.93,81.24,80.93,80.85,
2026-06-11 22:46:46,1049,81.9,81.93,81.9,81.88,
2026-06-11 22:55:11,1049,100.0,100.0,100.0,100.0,
2026-06-11 23:04:52,1049,100.0,100.0,100.0,100.0,
2026-06-11 23:09:45,1049,82.86,82.87,82.86,82.86,
2026-06-13 00:22:18,1032,81.64,81.85,81.64,81.52,
2026-06-13 00:34:27,940,81.38,82.07,81.38,81.18,
2026-06-13 00:43:18,968,78.87,79.13,78.87,78.85,
2026-06-13 00:51:11,988,73.23,73.54,73.23,73.25,
2026-06-13 00:57:06,998,75.0,75.04,75.0,74.93,
2026-06-13 01:02:15,1008,74.75,75.38,74.75,74.5,
2026-06-13 01:04:57,1096,78.64,78.89,78.64,78.48,
2026-06-13 01:09:36,1121,77.78,77.99,77.78,77.56,
2026-06-13 01:13:43,1136,77.63,77.83,77.63,77.5,
2026-06-13 01:19:32,1180,80.51,80.53,80.51,80.51,
2026-06-13 01:23:12,1195,82.43,82.53,82.43,82.41,
2026-06-13 01:34:31,1235,83.81,84.14,83.81,83.79,
2026-06-13 01:39:10,1250,84.4,84.64,84.4,84.42,
